url,keywords
"('http://youtube.com/watch?v=X-_cJU-pFwQ',)","('introduct|siddhartha|gautama|buddha|buddhism',)"
"('http://youtube.com/watch?v=aCA6ioTLw-Q',)","('introduct|major|school|buddhist|thoughttheravada|buddhism|mahayana|buddhism',)"
"('http://youtube.com/watch?v=16S_XjHqcZM',)","('core|spiritu|idea|buddhism|way|comparison|idea|hindu|upanishad',)"
"('http://youtube.com/watch?v=lh2mp0aqSh8',)","('familiar|common|fraction|decim|convert',)"
"('http://youtube.com/watch?v=UWTdCorvOWU',)","('overview|import|religi|text|hinduism|includ|veda|ramayana|mahabharata|bhagavad|gita',)"
"('http://youtube.com/watch?v=v8sj8pHSFuE',)","('discuss|varna|describ|rigveda|bhagavad|gita|relat|notion|cast|modern|india',)"
"('http://youtube.com/watch?v=INv2gdpfXPQ',)","('overview|hindu|pantheon|includ|shiva|vishnu|brahma|ganesh|parvati|durga|lakshmi|karthikeya|rama|krishna',)"
"('http://youtube.com/watch?v=6WIBa32o63Q',)","('explain|electron|affin|trend|period|electron|shield|effect|nuclear|charg|compar|electron|affin|ioniz|energi',)"
"('http://youtube.com/watch?v=649ZlWMp0LE',)","('explain|trend|ioniz|energi|period|nuclear|charg|shield|distanc|electron|nucleu',)"
"('http://youtube.com/watch?v=dzSbmCxUyuo',)","('formal|inform|write|speak| |let|dive',)"
"('http://youtube.com/watch?v=WnAzZWxiGs4',)","('tell|differ|compliment|complement|desert|dessert|',)"
"('http://youtube.com/watch?v=vVTwzjvWySs',)","('name|ionic|compound|contain|polyval|ion|exampl|cobalt|iii|sulfid',)"
"('http://youtube.com/watch?v=kemwplAKWsY',)","('sanskrit|connect|latin|english|european|languag',)"
"('http://youtube.com/watch?v=mi9sMazNPxM',)","('indu|river|valley|harappan|civil|last|2000|year|extend|today|northeast|afghanistan|pakistan|northwest|india|\xa0|sal|explor|histori|civil|technolog|innov|art|architectur|practic|agricultur',)"
"('http://youtube.com/watch?v=0BdZZCwDE-I',)","('sampl|ap|calculu|question|ask|recogn|function|taylor|seri',)"
"('http://youtube.com/watch?v=EqEEndY0sT8',)","('cyru|great|overthrow|median|establish|achaemenid|empir|persian|empir',)"
"('http://youtube.com/watch?v=DaBq0naj0YY',)","('introduct|experi|design|explanatori|respons|variabl|control|treatment|group',)"
"('http://youtube.com/watch?v=QA81QUt5Xjs',)","('sal|interview|legendari|filmmak|franci|ford|coppola',)"
"('http://youtube.com/watch?v=DsCMYyQ0NWU',)","('nitrogen|recycl|biospher|nitrogen|cycl|includ|nitrogen|fixat',)"
"('http://youtube.com/watch?v=TitrRpMUt0I',)","('see|energi|matter|flow|recycl|primari|produc|autotroph|primari|secondari|tertiari|consum',)"
